League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Premier League,AFC Bournemouth,"40,073","761,385","74,798","20,228",2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,Leicester City,"39,117","743,229","77,841","10,444",2017/18,Premier League|Leicester City|2017/18
Premier League,Huddersfield Town,"39,088","742,669","74,742","10,879",2017/18,Premier League|Huddersfield Town|2017/18
Premier League,Burnley,"38,967","740,365","75,046","10,302",2017/18,Premier League|Burnley|2017/18
Premier League,Swansea City,"38,732","735,913","75,038","10,820",2017/18,Premier League|Swansea City|2017/18
Premier League,West Bromwich Albion,"38,658","734,498","75,095","10,242",2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,Chelsea,"38,607","733,526","75,060","10,998",2017/18,Premier League|Chelsea|2017/18
Premier League,Everton,"38,566","732,751","76,251","10,497",2017/18,Premier League|Everton|2017/18
Premier League,Crystal Palace,"38,548","732,403","75,118","10,730",2017/18,Premier League|Crystal Palace|2017/18
Premier League,Liverpool,"38,490","731,311","80,827","10,780",2017/18,Premier League|Liverpool|2017/18
Premier League,Arsenal,"38,381","729,232","83,222","10,836",2017/18,Premier League|Arsenal|2017/18
Premier League,Manchester City,"38,308","727,852","80,811","10,419",2017/18,Premier League|Manchester City|2017/18
Premier League,Stoke City,"38,226","726,287","74,726","10,614",2017/18,Premier League|Stoke City|2017/18
Premier League,Watford,"38,205","725,901","75,049","10,501",2017/18,Premier League|Watford|2017/18
Premier League,Southampton,"38,037","722,704","75,051","10,764",2017/18,Premier League|Southampton|2017/18
Premier League,Brighton & Hove Albion,"37,479","712,109","75,018","10,369",2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,Manchester United,"37,462","711,771","81,978","10,952",2017/18,Premier League|Manchester United|2017/18
Premier League,Newcastle United,"37,135","705,566","75,035","10,808",2017/18,Premier League|Newcastle United|2017/18
Premier League,Tottenham Hotspur,"36,886","700,828","75,034","10,623",2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,West Ham United,"36,498","693,470","74,928","10,596",2017/18,Premier League|West Ham United|2017/18
Bundesliga,Bayern Munich,"46,996","798,924","81,360","24,000",2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,Werder Bremen,"46,765","795,001","81,160","24,000",2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,Hamburger SV,"46,114","783,938","81,360","24,000",2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,Borussia Dortmund,"45,920","780,645","75,000","24,000",2017/18,Bundesliga|Borussia Dortmund|2017/18
Bundesliga,FC Schalke 04,"45,674","776,455","80,179","24,000",2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,RB Leipzig,"45,546","774,274","80,100","22,827",2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,"Borussia M'gladbach","45,224","768,814","81,360","23,800",2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,1. FC Koln,"45,139","767,370","81,000","24,000",2017/18,Bundesliga|1. FC Koln|2017/18
Bundesliga,SC Freiburg,"45,044","765,753","81,360","23,744",2017/18,Bundesliga|SC Freiburg|2017/18
Bundesliga,Hertha BSC,"44,952","764,186","80,860","23,517",2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,VfB Stuttgart,"44,399","754,787","81,360","24,000",2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,Eintracht Frankfurt,"44,092","749,556","81,360","24,000",2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,TSG 1899 Hoffenheim,"43,891","746,147","81,000","23,477",2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,Hannover 96,"43,525","739,924","81,360","22,900",2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,Bayer Leverkusen,"43,523","739,891","81,360","24,000",2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,1. FSV Mainz 05,"43,065","732,097","81,360","24,000",2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,VfL Wolfsburg,"42,684","725,634","80,600","24,000",2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,FC Augsburg,"41,716","709,166","75,000","23,512",2017/18,Bundesliga|FC Augsburg|2017/18
La Liga,Real Madrid,"31,594","600,284","97,939","6,707",2017/18,La Liga|Real Madrid|2017/18
La Liga,Barcelona,"30,505","579,603","80,264","6,760",2017/18,La Liga|Barcelona|2017/18
La Liga,Atletico Madrid,"29,647","563,290","90,356","6,186",2017/18,La Liga|Atletico Madrid|2017/18
La Liga,Sevilla,"29,111","553,114","76,924","5,311",2017/18,La Liga|Sevilla|2017/18
La Liga,Malaga,"28,565","542,728","75,671","4,520",2017/18,La Liga|Malaga|2017/18
La Liga,Real Sociedad,"28,125","534,369","84,168","6,233",2017/18,La Liga|Real Sociedad|2017/18
La Liga,Athletic Bilbao,"27,975","531,519","84,053","5,932",2017/18,La Liga|Athletic Bilbao|2017/18
La Liga,Eibar,"27,828","528,729","66,781","9,317",2017/18,La Liga|Eibar|2017/18
La Liga,Valencia,"27,593","524,273","69,544","5,219",2017/18,La Liga|Valencia|2017/18
La Liga,Villarreal,"27,312","518,920","63,403","4,056",2017/18,La Liga|Villarreal|2017/18
La Liga,Girona FC,"27,029","513,543","85,417","4,867",2017/18,La Liga|Girona FC|2017/18
La Liga,Celta Vigo,"26,486","503,239","63,208","5,345",2017/18,La Liga|Celta Vigo|2017/18
La Liga,Levante,"26,169","497,218","67,789","5,131",2017/18,La Liga|Levante|2017/18
La Liga,Deportivo La Coruna,"26,127","496,413","63,504","5,097",2017/18,La Liga|Deportivo La Coruna|2017/18
La Liga,CD Alaves,"26,068","495,296","75,181","5,754",2017/18,La Liga|CD Alaves|2017/18
La Liga,CD Leganes,"25,891","491,938","72,126","4,986",2017/18,La Liga|CD Leganes|2017/18
