League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Bundesliga,Bayern Munich,"75,000","1,275,000","75,000","75,000",2015/16,Bundesliga|Bayern Munich|2015/16
Bundesliga,FC Schalke 04,"61,381","1,043,476","62,271","60,000",2015/16,Bundesliga|FC Schalke 04|2015/16
Bundesliga,Hamburger SV,"53,721","913,259","57,000","46,136",2015/16,Bundesliga|Hamburger SV|2015/16
Bundesliga,VfB Stuttgart,"51,983","883,705","60,000","44,647",2015/16,Bundesliga|VfB Stuttgart|2015/16
Bundesliga,"Borussia M'gladbach","51,715","879,159","54,010","40,511",2015/16,"Bundesliga|Borussia M'gladbach|2015/16"
Bundesliga,Hertha BSC,"49,704","844,968","76,233","35,196",2015/16,Bundesliga|Hertha BSC|2015/16
Bundesliga,1. FC Koln,"48,676","827,500","50,000","45,500",2015/16,Bundesliga|1. FC Koln|2015/16
Bundesliga,Eintracht Frankfurt,"46,676","793,500","51,500","35,000",2015/16,Bundesliga|Eintracht Frankfurt|2015/16
Bundesliga,Hannover 96,"41,246","701,188","49,000","32,400",2015/16,Bundesliga|Hannover 96|2015/16
Bundesliga,Werder Bremen,"40,935","695,896","42,100","38,416",2015/16,Bundesliga|Werder Bremen|2015/16
Bundesliga,1. FSV Mainz 05,"31,103","528,749","34,000","26,331",2015/16,Bundesliga|1. FSV Mainz 05|2015/16
Bundesliga,FC Augsburg,"29,127","495,160","30,660","27,081",2015/16,Bundesliga|FC Augsburg|2015/16
Bundesliga,Bayer Leverkusen,"29,085","494,446","30,210","24,805",2015/16,Bundesliga|Bayer Leverkusen|2015/16
Bundesliga,VfL Wolfsburg,"28,945","492,067","30,000","26,422",2015/16,Bundesliga|VfL Wolfsburg|2015/16
Bundesliga,TSG 1899 Hoffenheim,"27,615","469,462","30,150","21,092",2015/16,Bundesliga|TSG 1899 Hoffenheim|2015/16
Bundesliga,SV Darmstadt 98,"16,647","283,000","17,000","14,800",2015/16,Bundesliga|SV Darmstadt 98|2015/16
Bundesliga,FC Ingolstadt 04,"14,840","252,285","15,617","13,500",2015/16,Bundesliga|FC Ingolstadt 04|2015/16
La Liga,Barcelona,"79,488","1,510,276","99,264","66,234",2015/16,La Liga|Barcelona|2015/16
La Liga,Real Madrid,"71,265","1,354,043","80,500","61,564",2015/16,La Liga|Real Madrid|2015/16
La Liga,Atletico Madrid,"46,811","889,412","53,079","35,621",2015/16,La Liga|Atletico Madrid|2015/16
La Liga,Athletic Bilbao,"41,600","790,403","47,603","34,000",2015/16,La Liga|Athletic Bilbao|2015/16
La Liga,Real Betis,"37,924","720,558","50,073","25,872",2015/16,La Liga|Real Betis|2015/16
La Liga,Valencia,"37,484","712,198","47,185","27,777",2015/16,La Liga|Valencia|2015/16
La Liga,Sevilla,"34,147","648,789","40,377","21,915",2015/16,La Liga|Sevilla|2015/16
La Liga,Deportivo La Coruna,"23,745","451,148","30,666","17,184",2015/16,La Liga|Deportivo La Coruna|2015/16
La Liga,Sporting Gijon,"23,559","447,629","28,140","19,870",2015/16,La Liga|Sporting Gijon|2015/16
La Liga,Malaga,"21,404","406,683","30,372","13,759",2015/16,La Liga|Malaga|2015/16
La Liga,Las Palmas,"21,299","404,682","28,515","15,819",2015/16,La Liga|Las Palmas|2015/16
La Liga,Real Sociedad,"20,581","391,034","27,895","12,783",2015/16,La Liga|Real Sociedad|2015/16
La Liga,Espanyol,"20,233","384,421","32,155","13,293",2015/16,La Liga|Espanyol|2015/16
La Liga,Celta Vigo,"18,444","350,435","25,494","13,550",2015/16,La Liga|Celta Vigo|2015/16
La Liga,Villarreal,"17,557","333,581","24,398","13,247",2015/16,La Liga|Villarreal|2015/16
La Liga,Granada CF,"16,285","309,406","21,692","12,668",2015/16,La Liga|Granada CF|2015/16
La Liga,Levante,"14,432","274,211","22,424","10,589",2015/16,La Liga|Levante|2015/16
La Liga,Rayo Vallecano,"11,681","221,932","14,430","9,423",2015/16,La Liga|Rayo Vallecano|2015/16
La Liga,Getafe,"7,417","140,927","13,028","4,532",2015/16,La Liga|Getafe|2015/16
La Liga,Eibar,"5,215","99,088","6,100","4,215",2015/16,La Liga|Eibar|2015/16
French Ligue 1,Paris Saint-Germain,"46,107","876,038","47,844","44,807",2015/16,French Ligue 1|Paris Saint-Germain|2015/16
French Ligue 1,Olympique Marseille,"44,121","838,290","63,235","19,898",2015/16,French Ligue 1|Olympique Marseille|2015/16
French Ligue 1,Olympique Lyonnais,"40,279","765,304","56,696","25,658",2015/16,French Ligue 1|Olympique Lyonnais|2015/16
French Ligue 1,AS Saint-Etienne,"30,328","576,237","39,550","24,556",2015/16,French Ligue 1|AS Saint-Etienne|2015/16
French Ligue 1,Lille OSC,"30,268","575,097","39,601","26,431",2015/16,French Ligue 1|Lille OSC|2015/16
French Ligue 1,Girondins De Bordeaux,"25,089","476,686","39,672","17,603",2015/16,French Ligue 1|Girondins De Bordeaux|2015/16
French Ligue 1,FC Nantes,"24,519","465,870","31,410","18,851",2015/16,French Ligue 1|FC Nantes|2015/16
French Ligue 1,Stade Rennes,"23,182","440,455","29,068","18,022",2015/16,French Ligue 1|Stade Rennes|2015/16
French Ligue 1,OGC Nice,"19,192","364,650","35,596","12,828",2015/16,French Ligue 1|OGC Nice|2015/16
French Ligue 1,Caen,"17,661","335,555","20,679","15,069",2015/16,French Ligue 1|Caen|2015/16
French Ligue 1,Toulouse,"16,318","310,051","30,178","8,883",2015/16,French Ligue 1|Toulouse|2015/16
French Ligue 1,En Avant Guingamp,"14,804","281,281","18,363","12,737",2015/16,French Ligue 1|En Avant Guingamp|2015/16
French Ligue 1,Angers SCO,"13,502","256,535","16,381","10,166",2015/16,French Ligue 1|Angers SCO|2015/16
French Ligue 1,Stade Reims,"13,483","256,177","20,950","9,289",2015/16,French Ligue 1|Stade Reims|2015/16
French Ligue 1,Montpellier HSC,"12,839","243,947","27,163","9,076",2015/16,French Ligue 1|Montpellier HSC|2015/16
French Ligue 1,Troyes AC,"12,470","236,921","19,184","10,117",2015/16,French Ligue 1|Troyes AC|2015/16
French Ligue 1,Lorient,"11,993","227,868","15,599","9,067",2015/16,French Ligue 1|Lorient|2015/16
French Ligue 1,SC Bastia,"11,559","219,626","14,702","10,135",2015/16,French Ligue 1|SC Bastia|2015/16
French Ligue 1,AS Monaco,"7,843","149,024","16,224","5,388",2015/16,French Ligue 1|AS Monaco|2015/16
French Ligue 1,Gazelec Ajaccio,"3,719","70,656","4,125","3,465",2015/16,French Ligue 1|Gazelec Ajaccio|2015/16
Eredivisie,AFC Ajax,"49,206","836,504","51,875","43,578",2015/16,Eredivisie|AFC Ajax|2015/16
Eredivisie,Feyenoord,"47,324","804,500","47,500","46,000",2015/16,Eredivisie|Feyenoord|2015/16
Eredivisie,PSV Eindhoven,"33,594","571,100","35,000","32,000",2015/16,Eredivisie|PSV Eindhoven|2015/16
Eredivisie,FC Groningen,"32,025","544,432","207,043","19,277",2015/16,Eredivisie|FC Groningen|2015/16
Eredivisie,FC Twente,"25,806","438,700","29,000","24,100",2015/16,Eredivisie|FC Twente|2015/16
Eredivisie,SC Heerenveen,"23,659","402,201","26,100","20,000",2015/16,Eredivisie|SC Heerenveen|2015/16
Eredivisie,FC Utrecht,"17,300","294,103","21,715","14,100",2015/16,Eredivisie|FC Utrecht|2015/16
Eredivisie,Vitesse Arnhem,"17,003","289,043","21,231","13,212",2015/16,Eredivisie|Vitesse Arnhem|2015/16
Eredivisie,AZ Alkmaar,"15,221","258,765","17,052","13,121",2015/16,Eredivisie|AZ Alkmaar|2015/16
Eredivisie,Roda JC Kerkrade,"14,815","251,847","17,469","13,130",2015/16,Eredivisie|Roda JC Kerkrade|2015/16
Eredivisie,Willem II Tilburg,"12,644","214,942","14,500","10,500",2015/16,Eredivisie|Willem II Tilburg|2015/16
Eredivisie,PEC Zwolle,"12,244","208,145","12,500","11,650",2015/16,Eredivisie|PEC Zwolle|2015/16
Eredivisie,ADO Den Haag,"11,922","202,672","14,561","10,071",2015/16,Eredivisie|ADO Den Haag|2015/16
Eredivisie,NEC Nijmegen,"11,680","198,568","12,500","10,118",2015/16,Eredivisie|NEC Nijmegen|2015/16
Eredivisie,Heracles Almelo,"11,285","191,853","12,100","10,055",2015/16,Eredivisie|Heracles Almelo|2015/16
Eredivisie,De Graafschap,"10,840","184,278","12,600","8,100",2015/16,Eredivisie|De Graafschap|2015/16
Eredivisie,SC Cambuur,"9,699","164,886","10,000","8,650",2015/16,Eredivisie|SC Cambuur|2015/16
Eredivisie,SBV Excelsior,"3,587","60,971","3,750","3,300",2015/16,Eredivisie|SBV Excelsior|2015/16
Serie A,Internazionale,"43,456","825,672","79,154","31,494",2015/16,Serie A|Internazionale|2015/16
Serie A,Juventus,"39,140","743,651","41,305","36,690",2015/16,Serie A|Juventus|2015/16
Serie A,Napoli,"39,124","743,357","56,452","22,533",2015/16,Serie A|Napoli|2015/16
Serie A,AS Roma,"38,175","725,324","60,133","28,133",2015/16,Serie A|AS Roma|2015/16
Serie A,AC Milan,"37,823","718,638","77,043","25,523",2015/16,Serie A|AC Milan|2015/16
Serie A,Fiorentina,"29,955","569,139","55,775","22,791",2015/16,Serie A|Fiorentina|2015/16
Serie A,Genoa,"21,753","413,312","31,770","19,061",2015/16,Serie A|Genoa|2015/16
Serie A,Sampdoria,"21,749","413,237","31,375","20,223",2015/16,Serie A|Sampdoria|2015/16
Serie A,Bologna,"20,821","395,595","35,068","15,576",2015/16,Serie A|Bologna|2015/16
Serie A,SS Lazio,"20,481","389,130","33,000","2,304",2015/16,Serie A|SS Lazio|2015/16
Serie A,Torino,"18,729","355,857","25,489","13,590",2015/16,Serie A|Torino|2015/16
Serie A,Hellas Verona,"18,039","342,741","23,423","15,198",2015/16,Serie A|Hellas Verona|2015/16
Serie A,Palermo,"16,886","303,954","33,445","10,023",2015/16,Serie A|Palermo|2015/16
Serie A,Atalanta,"15,880","301,724","19,770","12,352",2015/16,Serie A|Atalanta|2015/16
Serie A,Udinese,"15,631","296,982","25,467","9,000",2015/16,Serie A|Udinese|2015/16
Serie A,Sassuolo,"11,854","225,235","26,880","7,810",2015/16,Serie A|Sassuolo|2015/16
Serie A,Chievo,"10,626","201,900","25,000","5,200",2015/16,Serie A|Chievo|2015/16
Serie A,Empoli,"9,971","189,458","19,501","7,309",2015/16,Serie A|Empoli|2015/16
Serie A,Carpi,"9,337","177,401","17,755","5,268",2015/16,Serie A|Carpi|2015/16
Serie A,Frosinone,"7,556","143,565","11,000","6,014",2015/16,Serie A|Frosinone|2015/16
Scottish Premiership,Celtic,"44,850","852,145","49,050","41,396",2015/16,Scottish Premiership|Celtic|2015/16
Scottish Premiership,Heart of Midlothian,"16,423","312,039","16,995","15,438",2015/16,Scottish Premiership|Heart of Midlothian|2015/16
Scottish Premiership,Aberdeen,"13,094","248,788","20,385","10,003",2015/16,Scottish Premiership|Aberdeen|2015/16
Scottish Premiership,Dundee United,"7,969","151,418","11,835","4,689",2015/16,Scottish Premiership|Dundee United|2015/16
Scottish Premiership,Dundee,"6,122","116,322","11,025","4,335",2015/16,Scottish Premiership|Dundee|2015/16
Scottish Premiership,Motherwell,"4,912","93,334","9,123","3,279",2015/16,Scottish Premiership|Motherwell|2015/16
Scottish Premiership,Ross County,"4,034","76,641","6,042","2,976",2015/16,Scottish Premiership|Ross County|2015/16
Scottish Premiership,Kilmarnock,"3,993","75,868","6,867","2,633",2015/16,Scottish Premiership|Kilmarnock|2015/16
Scottish Premiership,Inverness Cali,"3,946","74,977","6,410","2,775",2015/16,Scottish Premiership|Inverness Cali|2015/16
Scottish Premiership,St Johnstone,"3,880","73,715","6,418","2,157",2015/16,Scottish Premiership|St Johnstone|2015/16
Scottish Premiership,Partick Thistle,"3,800","72,196","7,238","2,320",2015/16,Scottish Premiership|Partick Thistle|2015/16
Scottish Premiership,Hamilton Academical,"3,027","57,506","5,017","1,516",2015/16,Scottish Premiership|Hamilton Academical|2015/16
