League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"75,286","1,430,430","75,415","74,363",2015/16,Premier League|Manchester United|2015/16
Premier League,Arsenal,"59,944","1,138,934","60,084","59,257",2015/16,Premier League|Arsenal|2015/16
Premier League,Manchester City,"54,041","1,026,776","54,693","53,052",2015/16,Premier League|Manchester City|2015/16
Premier League,Newcastle United,"49,754","945,317","52,311","46,424",2015/16,Premier League|Newcastle United|2015/16
Premier League,Liverpool,"43,910","834,285","44,228","43,210",2015/16,Premier League|Liverpool|2015/16
Premier League,Sunderland,"43,071","818,351","47,653","38,852",2015/16,Premier League|Sunderland|2015/16
Premier League,Chelsea,"41,491","788,326","41,642","40,945",2015/16,Premier League|Chelsea|2015/16
Premier League,Everton,"38,124","724,356","39,598","35,736",2015/16,Premier League|Everton|2015/16
Premier League,Tottenham Hotspur,"35,776","679,741","36,084","34,882",2015/16,Premier League|Tottenham Hotspur|2015/16
Premier League,West Ham United,"34,884","662,791","34,977","34,357",2015/16,Premier League|West Ham United|2015/16
Premier League,Aston Villa,"34,480","655,112","47,472","28,245",2015/16,Premier League|Aston Villa|2015/16
Premier League,Leicester City,"32,021","608,393","32,242","31,733",2015/16,Premier League|Leicester City|2015/16
Premier League,Southampton,"30,751","584,266","31,688","28,399",2015/16,Premier League|Southampton|2015/16
Premier League,Stoke City,"27,534","523,148","27,833","26,747",2015/16,Premier League|Stoke City|2015/16
Premier League,Norwich City,"26,972","512,470","27,137","26,279",2015/16,Premier League|Norwich City|2015/16
Premier League,Crystal Palace,"24,825","471,683","28,467","23,528",2015/16,Premier League|Crystal Palace|2015/16
Premier League,West Bromwich Albion,"24,631","467,995","26,313","22,062",2015/16,Premier League|West Bromwich Albion|2015/16
Premier League,Swansea City,"20,711","393,508","20,972","20,044",2015/16,Premier League|Swansea City|2015/16
Premier League,Watford,"20,594","391,281","21,012","20,011",2015/16,Premier League|Watford|2015/16
Premier League,AFC Bournemouth,"11,188","212,577","11,386","10,863",2015/16,Premier League|AFC Bournemouth|2015/16
Bundesliga,Borussia Dortmund,"81,178","1,380,023","81,359","79,956",2015/16,Bundesliga|Borussia Dortmund|2015/16
