League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"75,290","1,430,502","75,397","75,245",2016/17,Premier League|Manchester United|2016/17
Premier League,Arsenal,"59,955","1,139,147","60,055","59,500",2016/17,Premier League|Arsenal|2016/17
Premier League,West Ham United,"56,972","1,082,464","56,996","56,864",2016/17,Premier League|West Ham United|2016/17
Premier League,Manchester City,"54,019","1,026,358","54,512","51,527",2016/17,Premier League|Manchester City|2016/17
Premier League,Liverpool,"53,016","1,007,311","53,292","51,232",2016/17,Premier League|Liverpool|2016/17
Premier League,Chelsea,"41,508","788,645","41,622","41,168",2016/17,Premier League|Chelsea|2016/17
Premier League,Sunderland,"41,287","784,450","46,494","38,394",2016/17,Premier League|Sunderland|2016/17
Premier League,Everton,"39,047","741,890","39,595","34,494",2016/17,Premier League|Everton|2016/17
Premier League,Tottenham Hotspur,"31,639","601,143","31,962","31,211",2016/17,Premier League|Tottenham Hotspur|2016/17
Premier League,Leicester City,"31,367","595,968","32,072","21,757",2016/17,Premier League|Leicester City|2016/17
Premier League,Southampton,"30,936","587,787","31,891","28,976",2016/17,Premier League|Southampton|2016/17
Premier League,Middlesbrough,"30,449","578,539","32,704","27,316",2016/17,Premier League|Middlesbrough|2016/17
Premier League,Stoke City,"27,433","521,230","27,815","26,602",2016/17,Premier League|Stoke City|2016/17
Premier League,Crystal Palace,"25,161","478,052","25,648","23,503",2016/17,Premier League|Crystal Palace|2016/17
Premier League,West Bromwich Albion,"23,876","453,646","26,308","21,467",2016/17,Premier League|West Bromwich Albion|2016/17
Premier League,Hull City,"20,761","394,466","24,822","17,403",2016/17,Premier League|Hull City|2016/17
Premier League,Swansea City,"20,619","391,766","20,938","20,024",2016/17,Premier League|Swansea City|2016/17
Premier League,Watford,"20,571","390,849","21,118","20,022",2016/17,Premier League|Watford|2016/17
Premier League,Burnley,"20,558","390,609","21,870","18,519",2016/17,Premier League|Burnley|2016/17
Premier League,AFC Bournemouth,"11,182","212,464","11,388","10,890",2016/17,Premier League|AFC Bournemouth|2016/17
Bundesliga,Borussia Dortmund,"79,653","1,354,105","81,360","56,906",2016/17,Bundesliga|Borussia Dortmund|2016/17
Bundesliga,Bayern Munich,"75,000","1,275,000","75,000","75,000",2016/17,Bundesliga|Bayern Munich|2016/17
Bundesliga,FC Schalke 04,"60,762","1,032,961","62,271","58,004",2016/17,Bundesliga|FC Schalke 04|2016/17
Bundesliga,Hamburger SV,"52,353","890,009","57,000","44,445",2016/17,Bundesliga|Hamburger SV|2016/17
Bundesliga,"Borussia M'gladbach","51,494","875,400","54,014","44,347",2016/17,"Bundesliga|Borussia M'gladbach|2016/17"
Bundesliga,Hertha BSC,"50,267","854,539","74,667","31,912",2016/17,Bundesliga|Hertha BSC|2016/17
Bundesliga,1. FC Koln,"49,571","842,700","50,000","47,200",2016/17,Bundesliga|1. FC Koln|2016/17
Bundesliga,Eintracht Frankfurt,"49,059","834,000","51,500","43,000",2016/17,Bundesliga|Eintracht Frankfurt|2016/17
Bundesliga,Werder Bremen,"40,881","694,974","42,100","37,108",2016/17,Bundesliga|Werder Bremen|2016/17
Bundesliga,RB Leipzig,"40,790","693,424","42,558","30,150",2016/17,Bundesliga|RB Leipzig|2016/17
Bundesliga,1. FSV Mainz 05,"29,096","494,627","34,000","23,371",2016/17,Bundesliga|1. FSV Mainz 05|2016/17
Bundesliga,Bayer Leverkusen,"28,433","483,368","30,210","24,097",2016/17,Bundesliga|Bayer Leverkusen|2016/17
Bundesliga,FC Augsburg,"28,172","478,931","30,660","24,515",2016/17,Bundesliga|FC Augsburg|2016/17
Bundesliga,TSG 1899 Hoffenheim,"28,155","478,640","30,150","23,028",2016/17,Bundesliga|TSG 1899 Hoffenheim|2016/17
Bundesliga,VfL Wolfsburg,"27,586","468,962","30,000","23,148",2016/17,Bundesliga|VfL Wolfsburg|2016/17
Bundesliga,SC Freiburg,"23,959","407,300","24,000","23,500",2016/17,Bundesliga|SC Freiburg|2016/17
Bundesliga,SV Darmstadt 98,"16,794","285,500","17,400","15,000",2016/17,Bundesliga|SV Darmstadt 98|2016/17
Bundesliga,FC Ingolstadt 04,"14,601","248,209","15,200","13,521",2016/17,Bundesliga|FC Ingolstadt 04|2016/17
La Liga,Barcelona,"78,678","1,494,888","98,485","56,605",2016/17,La Liga|Barcelona|2016/17
La Liga,Real Madrid,"71,983","1,367,670","81,044","63,328",2016/17,La Liga|Real Madrid|2016/17
La Liga,Atletico Madrid,"44,735","849,961","53,741","30,323",2016/17,La Liga|Atletico Madrid|2016/17
La Liga,Athletic Bilbao,"40,948","778,005","49,095","33,438",2016/17,La Liga|Athletic Bilbao|2016/17
La Liga,Valencia,"33,871","643,554","46,770","23,121",2016/17,La Liga|Valencia|2016/17
La Liga,Real Betis,"33,559","637,629","43,790","22,271",2016/17,La Liga|Real Betis|2016/17
La Liga,Sevilla,"32,777","622,755","40,812","25,995",2016/17,La Liga|Sevilla|2016/17
La Liga,Sporting Gijon,"23,095","438,809","26,098","16,201",2016/17,La Liga|Sporting Gijon|2016/17
La Liga,Deportivo La Coruna,"22,562","428,677","30,760","19,143",2016/17,La Liga|Deportivo La Coruna|2016/17
La Liga,Malaga,"22,493","427,376","30,370","12,679",2016/17,La Liga|Malaga|2016/17
La Liga,Real Sociedad,"21,268","404,093","27,756","10,974",2016/17,La Liga|Real Sociedad|2016/17
La Liga,Espanyol,"20,436","388,280","31,708","15,184",2016/17,La Liga|Espanyol|2016/17
La Liga,Las Palmas,"20,322","386,118","27,843","16,007",2016/17,La Liga|Las Palmas|2016/17
La Liga,CD Alaves,"18,393","349,468","19,840","16,236",2016/17,La Liga|CD Alaves|2016/17
La Liga,Villarreal,"17,904","340,171","22,893","15,120",2016/17,La Liga|Villarreal|2016/17
La Liga,Celta Vigo,"16,959","322,224","22,838","11,526",2016/17,La Liga|Celta Vigo|2016/17
La Liga,Granada CF,"14,888","282,873","19,094","10,503",2016/17,La Liga|Granada CF|2016/17
La Liga,Osasuna,"14,787","280,959","17,770","11,332",2016/17,La Liga|Osasuna|2016/17
La Liga,CD Leganes,"10,182","193,459","11,922","8,526",2016/17,La Liga|CD Leganes|2016/17
La Liga,Eibar,"5,248","99,706","6,740","2,625",2016/17,La Liga|Eibar|2016/17
French Ligue 1,Paris Saint-Germain,"45,159","858,030","47,929","40,597",2016/17,French Ligue 1|Paris Saint-Germain|2016/17
French Ligue 1,Olympique Marseille,"39,898","758,061","65,252","25,121",2016/17,French Ligue 1|Olympique Marseille|2016/17
French Ligue 1,Olympique Lyonnais,"38,203","687,658","57,050","27,391",2016/17,French Ligue 1|Olympique Lyonnais|2016/17
French Ligue 1,Lille OSC,"29,487","560,257","40,485","23,216",2016/17,French Ligue 1|Lille OSC|2016/17
French Ligue 1,AS Saint-Etienne,"27,227","490,083","37,029","20,456",2016/17,French Ligue 1|AS Saint-Etienne|2016/17
French Ligue 1,Girondins De Bordeaux,"24,217","460,127","41,265","16,332",2016/17,French Ligue 1|Girondins De Bordeaux|2016/17
French Ligue 1,FC Nantes,"23,152","439,886","32,858","17,818",2016/17,French Ligue 1|FC Nantes|2016/17
French Ligue 1,OGC Nice,"22,949","436,035","33,190","16,355",2016/17,French Ligue 1|OGC Nice|2016/17
French Ligue 1,Stade Rennes,"22,689","431,082","29,054","17,016",2016/17,French Ligue 1|Stade Rennes|2016/17
French Ligue 1,AS Nancy,"17,516","332,801","20,087","15,423",2016/17,French Ligue 1|AS Nancy|2016/17
French Ligue 1,Toulouse,"17,068","324,294","29,430","11,023",2016/17,French Ligue 1|Toulouse|2016/17
French Ligue 1,FC Metz,"16,196","291,535","21,011","11,550",2016/17,French Ligue 1|FC Metz|2016/17
French Ligue 1,Caen,"15,786","284,147","20,054",740,2016/17,French Ligue 1|Caen|2016/17
French Ligue 1,En Avant Guingamp,"14,790","281,003","18,033","12,630",2016/17,French Ligue 1|En Avant Guingamp|2016/17
French Ligue 1,Montpellier HSC,"12,356","234,763","22,217","8,960",2016/17,French Ligue 1|Montpellier HSC|2016/17
French Ligue 1,Angers SCO,"11,954","227,121","15,909","9,142",2016/17,French Ligue 1|Angers SCO|2016/17
French Ligue 1,Lorient,"11,832","224,802","15,884","8,323",2016/17,French Ligue 1|Lorient|2016/17
French Ligue 1,Dijon FCO,"10,128","192,433","13,416","7,828",2016/17,French Ligue 1|Dijon FCO|2016/17
French Ligue 1,AS Monaco,"9,420","178,985","16,049","4,319",2016/17,French Ligue 1|AS Monaco|2016/17
French Ligue 1,SC Bastia,"10,511","178,682","13,122","9,139",2016/17,French Ligue 1|SC Bastia|2016/17
Eredivisie,AFC Ajax,"49,620","843,534","51,998","45,405",2016/17,Eredivisie|AFC Ajax|2016/17
Eredivisie,Feyenoord,"47,500","760,000","47,500","47,500",2016/17,Eredivisie|Feyenoord|2016/17
Eredivisie,PSV Eindhoven,"33,124","563,100","36,000","27,000",2016/17,Eredivisie|PSV Eindhoven|2016/17
Eredivisie,FC Twente,"25,424","432,200","28,600","22,900",2016/17,Eredivisie|FC Twente|2016/17
Eredivisie,SC Heerenveen,"22,309","379,258","25,800","20,080",2016/17,Eredivisie|SC Heerenveen|2016/17
Eredivisie,FC Groningen,"19,371","329,300","22,312","17,818",2016/17,Eredivisie|FC Groningen|2016/17
Eredivisie,FC Utrecht,"18,146","308,477","22,231","13,000",2016/17,Eredivisie|FC Utrecht|2016/17
Eredivisie,Vitesse Arnhem,"15,703","266,945","21,128","11,615",2016/17,Eredivisie|Vitesse Arnhem|2016/17
Eredivisie,AZ Alkmaar,"14,855","252,538","16,647","13,412",2016/17,Eredivisie|AZ Alkmaar|2016/17
Eredivisie,Roda JC Kerkrade,"13,857","235,572","17,839","11,858",2016/17,Eredivisie|Roda JC Kerkrade|2016/17
Eredivisie,PEC Zwolle,"12,855","218,540","13,250","11,200",2016/17,Eredivisie|PEC Zwolle|2016/17
Eredivisie,Willem II Tilburg,"12,451","211,660","14,500","11,200",2016/17,Eredivisie|Willem II Tilburg|2016/17
Eredivisie,NEC Nijmegen,"11,387","193,572","12,500","9,500",2016/17,Eredivisie|NEC Nijmegen|2016/17
Eredivisie,ADO Den Haag,"11,343","192,839","13,764","8,956",2016/17,Eredivisie|ADO Den Haag|2016/17
Eredivisie,Heracles Almelo,"11,109","188,861","12,052","10,322",2016/17,Eredivisie|Heracles Almelo|2016/17
Eredivisie,Sparta Rotterdam,"10,185","173,144","10,606","9,000",2016/17,Eredivisie|Sparta Rotterdam|2016/17
Eredivisie,Go Ahead Eagles,"9,378","159,428","9,781","7,891",2016/17,Eredivisie|Go Ahead Eagles|2016/17
Eredivisie,SBV Excelsior,"4,069","69,176","4,500","3,200",2016/17,Eredivisie|SBV Excelsior|2016/17
Serie A,Napoli,"57,974","1,101,500","451,169","15,912",2016/17,Serie A|Napoli|2016/17
Serie A,Internazionale,"46,620","885,784","78,328","33,788",2016/17,Serie A|Internazionale|2016/17
Serie A,AC Milan,"40,294","765,590","77,882","26,464",2016/17,Serie A|AC Milan|2016/17
Serie A,Juventus,"37,977","721,569","42,110","14,563",2016/17,Serie A|Juventus|2016/17
Serie A,AS Roma,"32,638","620,118","59,716","23,633",2016/17,Serie A|AS Roma|2016/17
Serie A,Fiorentina,"26,470","502,925","34,085","22,049",2016/17,Serie A|Fiorentina|2016/17
Serie A,SS Lazio,"21,947","417,000","40,000","10,000",2016/17,Serie A|SS Lazio|2016/17
Serie A,Bologna,"21,822","414,610","37,043","16,998",2016/17,Serie A|Bologna|2016/17
Serie A,Genoa,"21,432","407,206","31,190","17,730",2016/17,Serie A|Genoa|2016/17
Serie A,Torino,"19,359","367,818","26,426","14,827",2016/17,Serie A|Torino|2016/17
Serie A,Sampdoria,"18,762","356,478","29,824","9,338",2016/17,Serie A|Sampdoria|2016/17
Serie A,Atalanta,"16,933","321,723","19,656","13,823",2016/17,Serie A|Atalanta|2016/17
Serie A,Udinese,"16,026","304,493","26,008","4,695",2016/17,Serie A|Udinese|2016/17
