League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Serie A,Cagliari,"13,452","255,587","24,340","3,787",2016/17,Serie A|Cagliari|2016/17
Serie A,Pescara,"13,338","253,427","20,088","8,483",2016/17,Serie A|Pescara|2016/17
Serie A,Palermo,"12,538","238,230","27,039","5,615",2016/17,Serie A|Palermo|2016/17
Serie A,Sassuolo,"12,362","234,874","21,584","9,071",2016/17,Serie A|Sassuolo|2016/17
Serie A,Chievo,"10,871","206,558","28,000","7,558",2016/17,Serie A|Chievo|2016/17
Serie A,Empoli,"9,483","180,179","15,424","7,105",2016/17,Serie A|Empoli|2016/17
Serie A,FC Crotone,"8,212","156,030","15,353",510,2016/17,Serie A|FC Crotone|2016/17
Scottish Premiership,Celtic,"55,622","1,056,826","58,967","51,057",2016/17,Scottish Premiership|Celtic|2016/17
Scottish Premiership,Rangers,"48,883","928,774","50,126","46,563",2016/17,Scottish Premiership|Rangers|2016/17
Scottish Premiership,Aberdeen,"17,422","331,022","100,940","8,195",2016/17,Scottish Premiership|Aberdeen|2016/17
Scottish Premiership,Heart of Midlothian,"16,326","310,192","16,803","15,470",2016/17,Scottish Premiership|Heart of Midlothian|2016/17
Scottish Premiership,Dundee,"6,432","122,200","9,702","4,708",2016/17,Scottish Premiership|Dundee|2016/17
Scottish Premiership,Kilmarnock,"4,964","94,310","11,800","3,056",2016/17,Scottish Premiership|Kilmarnock|2016/17
Scottish Premiership,Partick Thistle,"4,282","85,648","7,951","2,257",2016/17,Scottish Premiership|Partick Thistle|2016/17
Scottish Premiership,Motherwell,"4,486","85,229","8,535","3,131",2016/17,Scottish Premiership|Motherwell|2016/17
Scottish Premiership,St Johnstone,"4,392","83,451","7,979","2,549",2016/17,Scottish Premiership|St Johnstone|2016/17
Scottish Premiership,Inverness Cali,"3,946","74,968","7,012","2,473",2016/17,Scottish Premiership|Inverness Cali|2016/17
Scottish Premiership,Ross County,"4,103","73,861","6,590","2,511",2016/17,Scottish Premiership|Ross County|2016/17
Scottish Premiership,Hamilton Academical,"2,530","48,078","5,292","1,548",2016/17,Scottish Premiership|Hamilton Academical|2016/17
