League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Serie A,Sampdoria,"21,530","409,079","47,043","7,508",2016/17,Serie A|Sampdoria|2016/17
Serie A,Genoa,"21,454","407,635","59,716",821,2016/17,Serie A|Genoa|2016/17
Serie A,Fiorentina,"21,043","399,816","49,519","7,997",2016/17,Serie A|Fiorentina|2016/17
Serie A,SS Lazio,"20,746","394,178","43,794","8,689",2016/17,Serie A|SS Lazio|2016/17
Serie A,Sassuolo,"20,728","393,833","49,490","7,484",2016/17,Serie A|Sassuolo|2016/17
Serie A,Cagliari,"19,990","379,803","47,281","5,615",2016/17,Serie A|Cagliari|2016/17
Serie A,Palermo,"19,873","377,588","41,166",510,2016/17,Serie A|Palermo|2016/17
Serie A,Pescara,"19,864","377,422","39,124","7,470",2016/17,Serie A|Pescara|2016/17
Serie A,Udinese,"19,852","377,186","39,199","7,164",2016/17,Serie A|Udinese|2016/17
Serie A,Torino,"19,657","373,482","39,239","7,725",2016/17,Serie A|Torino|2016/17
Serie A,Bologna,"19,182","364,464","42,274","7,474",2016/17,Serie A|Bologna|2016/17
Serie A,Empoli,"19,077","362,465","40,868","7,486",2016/17,Serie A|Empoli|2016/17
Serie A,Chievo,"18,849","358,134","39,196","3,787",2016/17,Serie A|Chievo|2016/17
Scottish Premiership,Partick Thistle,"21,711","390,797","100,940","2,210",2016/17,Scottish Premiership|Partick Thistle|2016/17
Scottish Premiership,Aberdeen,"15,853","301,200","57,758","2,006",2016/17,Scottish Premiership|Aberdeen|2016/17
Scottish Premiership,Hamilton Academical,"15,765","299,532","55,076","2,473",2016/17,Scottish Premiership|Hamilton Academical|2016/17
Scottish Premiership,Heart of Midlothian,"15,584","296,105","58,967","2,339",2016/17,Scottish Premiership|Heart of Midlothian|2016/17
Scottish Premiership,Motherwell,"15,458","293,711","56,366","2,511",2016/17,Scottish Premiership|Motherwell|2016/17
Scottish Premiership,Rangers,"15,351","291,667","58,545","5,292",2016/17,Scottish Premiership|Rangers|2016/17
Scottish Premiership,St Johnstone,"14,384","273,304","52,796","1,662",2016/17,Scottish Premiership|St Johnstone|2016/17
Scottish Premiership,Celtic,"13,779","261,810","50,126","5,003",2016/17,Scottish Premiership|Celtic|2016/17
Scottish Premiership,Ross County,"12,655","253,097","55,355","1,548",2016/17,Scottish Premiership|Ross County|2016/17
Scottish Premiership,Kilmarnock,"12,236","232,483","57,679","2,159",2016/17,Scottish Premiership|Kilmarnock|2016/17
Scottish Premiership,Inverness Cali,"10,721","203,690","54,152","1,611",2016/17,Scottish Premiership|Inverness Cali|2016/17
Scottish Premiership,Dundee,"10,377","197,163","56,366","1,853",2016/17,Scottish Premiership|Dundee|2016/17
