League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Premier League,AFC Bournemouth,"36,739","698,035","75,245","17,963",2016/17,Premier League|AFC Bournemouth|2016/17
Premier League,Burnley,"36,423","692,037","75,325","11,388",2016/17,Premier League|Burnley|2016/17
Premier League,Hull City,"36,296","689,631","75,297","11,029",2016/17,Premier League|Hull City|2016/17
Premier League,Tottenham Hotspur,"36,184","687,505","75,271","11,201",2016/17,Premier League|Tottenham Hotspur|2016/17
Premier League,Middlesbrough,"36,178","687,373","75,314","10,890",2016/17,Premier League|Middlesbrough|2016/17
Premier League,Stoke City,"36,147","686,801","75,251","11,046",2016/17,Premier League|Stoke City|2016/17
Premier League,West Bromwich Albion,"36,073","685,396","75,397","11,184",2016/17,Premier League|West Bromwich Albion|2016/17
Premier League,Watford,"36,072","685,374","75,301","11,123",2016/17,Premier League|Watford|2016/17
Premier League,Leicester City,"35,975","683,517","75,256","11,068",2016/17,Premier League|Leicester City|2016/17
Premier League,Chelsea,"35,940","682,860","75,272","11,283",2016/17,Premier League|Chelsea|2016/17
Premier League,Swansea City,"35,908","682,245","75,271","11,240",2016/17,Premier League|Swansea City|2016/17
Premier League,Crystal Palace,"35,898","682,064","75,254","11,286",2016/17,Premier League|Crystal Palace|2016/17
Premier League,Everton,"35,860","681,335","75,272","11,291",2016/17,Premier League|Everton|2016/17
Premier League,Liverpool,"35,797","680,142","75,276","11,183",2016/17,Premier League|Liverpool|2016/17
Premier League,Southampton,"35,671","677,751","75,326","11,113",2016/17,Premier League|Southampton|2016/17
Premier League,Sunderland,"35,144","667,738","75,325","11,084",2016/17,Premier League|Sunderland|2016/17
Premier League,Manchester City,"35,058","666,094","75,272","11,129",2016/17,Premier League|Manchester City|2016/17
Premier League,Arsenal,"35,005","665,100","75,264","11,202",2016/17,Premier League|Arsenal|2016/17
Premier League,West Ham United,"34,757","660,386","75,313","11,369",2016/17,Premier League|West Ham United|2016/17
Premier League,Manchester United,"34,521","655,902","60,055","11,355",2016/17,Premier League|Manchester United|2016/17
Bundesliga,1. FC Koln,"42,741","726,595","81,360","15,200",2016/17,Bundesliga|1. FC Koln|2016/17
Bundesliga,Bayern Munich,"42,652","725,090","81,360","15,200",2016/17,Bundesliga|Bayern Munich|2016/17
Bundesliga,Hamburger SV,"42,505","722,591","81,360","14,549",2016/17,Bundesliga|Hamburger SV|2016/17
Bundesliga,Werder Bremen,"42,492","722,356","81,360","15,200",2016/17,Bundesliga|Werder Bremen|2016/17
Bundesliga,SV Darmstadt 98,"42,397","720,754","81,360","14,081",2016/17,Bundesliga|SV Darmstadt 98|2016/17
Bundesliga,Borussia Dortmund,"42,396","720,730","75,000","15,200",2016/17,Bundesliga|Borussia Dortmund|2016/17
Bundesliga,RB Leipzig,"42,190","717,227","81,360","15,200",2016/17,Bundesliga|RB Leipzig|2016/17
Bundesliga,"Borussia M'gladbach","42,130","716,217","81,360","15,200",2016/17,"Bundesliga|Borussia M'gladbach|2016/17"
Bundesliga,Bayer Leverkusen,"41,428","704,282","79,100","14,351",2016/17,Bundesliga|Bayer Leverkusen|2016/17
Bundesliga,Eintracht Frankfurt,"41,163","699,766","81,360","14,259",2016/17,Bundesliga|Eintracht Frankfurt|2016/17
Bundesliga,FC Schalke 04,"41,042","697,707","80,179","15,200",2016/17,Bundesliga|FC Schalke 04|2016/17
Bundesliga,TSG 1899 Hoffenheim,"40,995","696,915","81,360","13,844",2016/17,Bundesliga|TSG 1899 Hoffenheim|2016/17
Bundesliga,1. FSV Mainz 05,"40,838","694,242","81,360","14,000",2016/17,Bundesliga|1. FSV Mainz 05|2016/17
Bundesliga,FC Augsburg,"40,625","690,627","81,360","15,200",2016/17,Bundesliga|FC Augsburg|2016/17
Bundesliga,FC Ingolstadt 04,"40,600","690,201","81,360","15,000",2016/17,Bundesliga|FC Ingolstadt 04|2016/17
Bundesliga,SC Freiburg,"40,582","689,892","80,800","13,904",2016/17,Bundesliga|SC Freiburg|2016/17
Bundesliga,Hertha BSC,"39,933","678,853","80,800","14,100",2016/17,Bundesliga|Hertha BSC|2016/17
Bundesliga,VfL Wolfsburg,"39,918","678,604","75,000","13,521",2016/17,Bundesliga|VfL Wolfsburg|2016/17
La Liga,Real Madrid,"31,888","605,873","98,485","6,740",2016/17,La Liga|Real Madrid|2016/17
La Liga,Barcelona,"31,218","593,139","81,044","6,340",2016/17,La Liga|Barcelona|2016/17
La Liga,Sevilla,"30,420","577,984","85,511","4,265",2016/17,La Liga|Sevilla|2016/17
La Liga,Atletico Madrid,"30,213","574,050","89,421","5,810",2016/17,La Liga|Atletico Madrid|2016/17
La Liga,Athletic Bilbao,"29,291","556,523","83,884","6,598",2016/17,La Liga|Athletic Bilbao|2016/17
La Liga,Eibar,"28,919","549,468","74,932","9,231",2016/17,La Liga|Eibar|2016/17
La Liga,Valencia,"28,222","536,220","78,675","4,419",2016/17,La Liga|Valencia|2016/17
La Liga,Granada CF,"28,066","533,253","82,914","4,855",2016/17,La Liga|Granada CF|2016/17
La Liga,Villarreal,"27,748","527,213","90,463","4,678",2016/17,La Liga|Villarreal|2016/17
La Liga,Deportivo La Coruna,"27,727","526,820","83,553","5,617",2016/17,La Liga|Deportivo La Coruna|2016/17
La Liga,Espanyol,"27,663","525,594","79,370","5,340",2016/17,La Liga|Espanyol|2016/17
La Liga,Malaga,"27,422","521,012","83,439","2,625",2016/17,La Liga|Malaga|2016/17
La Liga,Real Sociedad,"27,362","519,877","81,704","4,798",2016/17,La Liga|Real Sociedad|2016/17
La Liga,Osasuna,"27,237","517,509","69,567","5,250",2016/17,La Liga|Osasuna|2016/17
La Liga,Real Betis,"27,237","517,508","73,103","5,150",2016/17,La Liga|Real Betis|2016/17
La Liga,CD Alaves,"27,216","517,107","76,875","5,666",2016/17,La Liga|CD Alaves|2016/17
La Liga,CD Leganes,"27,134","515,551","74,269","5,256",2016/17,La Liga|CD Leganes|2016/17
La Liga,Las Palmas,"27,072","514,363","81,480","5,201",2016/17,La Liga|Las Palmas|2016/17
La Liga,Celta Vigo,"26,607","505,529","77,117","5,503",2016/17,La Liga|Celta Vigo|2016/17
La Liga,Sporting Gijon,"26,425","502,082","67,118","5,595",2016/17,La Liga|Sporting Gijon|2016/17
French Ligue 1,Paris Saint-Germain,"26,366","500,962","65,252",740,2016/17,French Ligue 1|Paris Saint-Germain|2016/17
French Ligue 1,Olympique Marseille,"25,215","479,077","48,147","10,542",2016/17,French Ligue 1|Olympique Marseille|2016/17
French Ligue 1,AS Monaco,"24,370","463,028","47,238","9,574",2016/17,French Ligue 1|AS Monaco|2016/17
French Ligue 1,AS Saint-Etienne,"23,040","437,751","57,050","10,174",2016/17,French Ligue 1|AS Saint-Etienne|2016/17
French Ligue 1,Girondins De Bordeaux,"22,352","424,686","57,091","9,841",2016/17,French Ligue 1|Girondins De Bordeaux|2016/17
French Ligue 1,OGC Nice,"22,293","401,271","61,685","9,757",2016/17,French Ligue 1|OGC Nice|2016/17
French Ligue 1,Olympique Lyonnais,"22,257","400,624","47,253","10,369",2016/17,French Ligue 1|Olympique Lyonnais|2016/17
French Ligue 1,SC Bastia,"20,847","396,089","55,178","7,019",2016/17,French Ligue 1|SC Bastia|2016/17
French Ligue 1,Angers SCO,"20,294","385,591","40,597","6,019",2016/17,French Ligue 1|Angers SCO|2016/17
French Ligue 1,Caen,"19,992","379,853","45,516","4,319",2016/17,French Ligue 1|Caen|2016/17
French Ligue 1,Dijon FCO,"19,831","376,787","42,484","9,069",2016/17,French Ligue 1|Dijon FCO|2016/17
French Ligue 1,Toulouse,"19,819","376,563","45,492","8,634",2016/17,French Ligue 1|Toulouse|2016/17
French Ligue 1,FC Metz,"19,465","369,829","46,011","6,069",2016/17,French Ligue 1|FC Metz|2016/17
French Ligue 1,En Avant Guingamp,"19,416","368,904","45,944","7,954",2016/17,French Ligue 1|En Avant Guingamp|2016/17
French Ligue 1,AS Nancy,"18,961","360,255","47,032","5,539",2016/17,French Ligue 1|AS Nancy|2016/17
French Ligue 1,Lorient,"19,914","358,444","44,844","5,549",2016/17,French Ligue 1|Lorient|2016/17
French Ligue 1,Montpellier HSC,"18,795","357,107","45,778","7,619",2016/17,French Ligue 1|Montpellier HSC|2016/17
French Ligue 1,FC Nantes,"19,547","351,851","44,258","7,649",2016/17,French Ligue 1|FC Nantes|2016/17
French Ligue 1,Lille OSC,"18,478","351,078","42,885","7,828",2016/17,French Ligue 1|Lille OSC|2016/17
French Ligue 1,Stade Rennes,"19,531","332,035","45,395","6,000",2016/17,French Ligue 1|Stade Rennes|2016/17
Eredivisie,Sparta Rotterdam,"19,483","331,213","51,075","4,400",2016/17,Eredivisie|Sparta Rotterdam|2016/17
Eredivisie,Go Ahead Eagles,"19,471","331,014","51,206","3,975",2016/17,Eredivisie|Go Ahead Eagles|2016/17
Eredivisie,Roda JC Kerkrade,"19,355","329,043","48,343","3,544",2016/17,Eredivisie|Roda JC Kerkrade|2016/17
Eredivisie,Vitesse Arnhem,"19,248","327,208","47,500","4,165",2016/17,Eredivisie|Vitesse Arnhem|2016/17
Eredivisie,Willem II Tilburg,"19,214","326,631","47,500","4,075",2016/17,Eredivisie|Willem II Tilburg|2016/17
Eredivisie,SBV Excelsior,"19,173","325,948","47,500","9,122",2016/17,Eredivisie|SBV Excelsior|2016/17
Eredivisie,NEC Nijmegen,"19,120","325,032","49,521","3,875",2016/17,Eredivisie|NEC Nijmegen|2016/17
Eredivisie,AZ Alkmaar,"19,108","324,835","51,959","3,670",2016/17,Eredivisie|AZ Alkmaar|2016/17
Eredivisie,SC Heerenveen,"19,100","324,705","51,541","4,225",2016/17,Eredivisie|SC Heerenveen|2016/17
Eredivisie,AFC Ajax,"19,059","323,997","47,500","4,400",2016/17,Eredivisie|AFC Ajax|2016/17
Eredivisie,PEC Zwolle,"19,034","323,572","48,088","3,640",2016/17,Eredivisie|PEC Zwolle|2016/17
Eredivisie,PSV Eindhoven,"18,892","321,163","51,998","4,400",2016/17,Eredivisie|PSV Eindhoven|2016/17
Eredivisie,FC Twente,"18,863","320,675","51,583","4,275",2016/17,Eredivisie|FC Twente|2016/17
Eredivisie,ADO Den Haag,"18,736","318,510","49,552","4,123",2016/17,Eredivisie|ADO Den Haag|2016/17
Eredivisie,FC Groningen,"18,561","315,542","50,667","3,200",2016/17,Eredivisie|FC Groningen|2016/17
Eredivisie,Feyenoord,"18,429","313,298","51,181","4,500",2016/17,Eredivisie|Feyenoord|2016/17
Eredivisie,FC Utrecht,"18,416","313,070","47,500","4,247",2016/17,Eredivisie|FC Utrecht|2016/17
Eredivisie,Heracles Almelo,"17,668","282,688","49,544","4,462",2016/17,Eredivisie|Heracles Almelo|2016/17
Serie A,FC Crotone,"42,026","798,488","451,169","7,678",2016/17,Serie A|FC Crotone|2016/17
Serie A,Juventus,"32,462","616,778","76,500","9,338",2016/17,Serie A|Juventus|2016/17
Serie A,Internazionale,"25,212","479,022","77,882","10,113",2016/17,Serie A|Internazionale|2016/17
Serie A,AC Milan,"25,101","476,928","78,328","10,000",2016/17,Serie A|AC Milan|2016/17
Serie A,AS Roma,"24,975","474,529","58,652","8,000",2016/17,Serie A|AS Roma|2016/17
Serie A,Napoli,"24,771","470,640","57,056","8,329",2016/17,Serie A|Napoli|2016/17
Serie A,Atalanta,"22,117","420,229","59,359",522,2016/17,Serie A|Atalanta|2016/17
